,IQ,CGPA,Academic_Performance,Communication_Skills,Projects_Completed,Placement
2642,87,10.29,6,5,1,0
6553,88,9.93,8,1,5,0
4508,109,7.58,6,9,5,0
2305,146,5.37,8,7,3,0
6502,106,8.55,1,8,2,1
6260,121,5.57,4,8,1,0
4195,92,6.66,5,8,1,0
5562,90,5.67,2,1,3,0
4840,87,5.9,6,1,3,0
4655,132,4.99,10,3,2,0
8147,124,8.11,2,2,3,1
4168,114,7.62,3,7,4,0
3849,78,10.09,8,6,4,0
9847,103,9.53,9,3,1,0
8401,117,8.15,6,9,2,1
5253,77,9.89,2,3,1,0
7884,102,5.26,6,2,2,0
5533,103,8.13,3,6,3,0
2414,115,7.13,9,10,3,1
3554,72,6.78,6,5,1,0
4691,103,8.34,7,4,0,0
4498,67,8.61,1,2,4,0
2195,90,8.69,4,2,3,0
5045,116,7.53,5,8,2,1
2600,71,5.81,4,2,1,0
1518,84,6.84,2,5,3,0
4764,85,7.64,7,2,2,0
4314,93,9.32,4,1,0,0
3366,92,8.71,7,7,0,0
6065,95,9.35,10,1,5,0
6582,95,8.87,7,5,2,0
2633,104,7.35,9,1,4,0
7337,73,8.89,3,10,4,1
5633,104,6.27,10,2,0,0
9168,104,8.45,2,10,4,1
8789,89,8.22,8,1,1,0
2434,103,6.03,8,6,1,0
8277,111,6.64,9,1,0,0
6758,130,4.59,3,10,4,1
6611,114,7.16,4,4,1,0
4520,92,4.95,4,5,5,0
5587,58,5.26,8,9,5,0
3545,104,6.65,1,8,1,0
5965,101,8.18,4,9,2,1
5992,85,6.34,6,3,1,0
8805,69,10.14,5,10,0,0
5531,88,7.6,5,3,3,0
5444,111,5.41,3,3,3,0
517,85,9.37,8,8,5,1
6110,115,9.39,9,9,2,1
6864,99,6.52,2,7,0,0
7960,90,10.12,9,9,5,1
1415,113,5.97,7,6,0,0
4664,110,6.27,1,4,5,0
4456,82,7.15,10,7,0,0
2761,87,6.55,5,7,3,0
4855,135,9.33,2,9,5,1
127,91,10.17,2,8,0,0
3474,89,9.73,10,2,4,0
7969,116,6.41,3,10,0,0
4310,100,5.35,5,10,4,0
2438,93,4.93,1,9,3,0
3765,100,5.83,6,7,4,0
6876,108,9.78,8,10,0,0
5896,76,5.74,5,5,5,0
5840,105,5.03,10,8,4,0
8842,98,5.37,5,8,2,0
9770,41,6.96,2,6,5,0
1473,100,8.94,8,3,5,0
4821,97,9.77,8,10,3,1
6915,80,7.19,10,4,1,0
3560,103,5.57,7,7,0,0
3951,87,9.83,10,8,2,1
49,73,8.48,10,5,5,0
5437,117,8.23,1,9,4,1
9897,95,8.38,3,2,5,0
887,94,7.16,3,9,5,0
2616,88,7.19,5,7,4,0
516,107,7.1,4,2,4,0
3168,98,9.77,7,8,2,1
2949,75,8.14,5,1,2,0
1424,84,6.87,9,9,2,0
139,81,6.41,8,8,2,0
1924,131,9.5,2,1,1,0
2378,93,5.27,3,8,5,0
3197,71,5.03,3,2,0,0
5131,112,9.06,6,1,5,1
112,100,8.23,8,8,2,1
4559,109,8.56,6,1,1,0
4595,102,7.03,4,5,2,0
7997,87,9.65,4,7,3,0
3250,109,9.61,3,8,5,1
4690,98,8.59,5,5,5,0
8115,97,8.31,5,5,2,0
7767,74,8.44,5,8,2,1
4546,98,8.13,2,10,1,0
7084,95,5.68,9,3,3,0
3277,102,8.12,6,1,3,0
7542,111,6.42,1,9,4,1
6593,90,9.58,8,10,2,1
4068,82,7.97,9,6,4,0
4408,108,5.84,7,9,2,0
8644,103,9.92,6,6,0,0
8588,89,7.16,6,1,0,0
7384,96,7.94,1,8,5,0
3222,120,5.68,1,7,0,0
8210,109,10.1,3,1,0,0
451,114,6.17,4,2,0,0
3731,87,9.79,10,8,2,1
8953,91,6.46,7,10,4,0
4986,96,5.52,2,3,3,0
3663,104,8.09,9,8,5,1
2763,90,9.43,5,6,5,0
658,102,7.79,3,1,0,0
7678,89,6.79,5,10,0,0
7676,96,9.38,9,5,1,0
4620,93,8.97,1,8,2,1
999,108,6.15,5,9,5,0
389,91,5.23,7,5,5,0
3407,101,5.76,8,9,4,0
1476,98,7.22,9,7,5,0
2240,101,5.15,9,9,2,0
2386,96,7.81,1,2,5,0
9139,111,6.97,6,9,3,1
992,96,8.76,3,4,5,0
4997,146,5.78,6,7,2,0
3922,94,7.29,8,7,0,0
2972,79,6.88,6,4,2,0
3386,87,8.97,8,7,2,0
7885,107,8.07,1,7,1,0
8812,101,7.38,9,4,4,0
4769,111,8.3,8,6,5,1
1293,112,7.63,4,3,1,0
1824,102,5.63,8,9,5,0
2873,91,6.69,8,3,5,0
4173,85,8.92,10,5,3,0
2535,95,5.68,8,2,4,0
9132,103,7.98,9,10,5,0
1907,83,7.08,3,10,0,0
42,98,5.51,9,3,0,0
9491,99,8.64,9,2,3,0
368,101,7.98,9,1,3,0
1151,67,5.92,4,5,1,0
7752,112,7.42,8,4,1,0
6358,70,6.39,7,8,3,0
5912,118,6.14,10,1,3,0
6507,107,6.76,8,5,0,0
7525,88,8.72,4,9,1,0
4160,100,6.02,2,10,0,0
4287,102,7.67,6,2,1,0
7775,109,8.18,1,6,0,0
6714,70,9.95,6,4,3,0
174,104,7.41,2,1,3,0
1903,105,9.48,4,8,4,1
1099,105,7.85,6,10,4,0
8114,86,5.53,8,5,0,0
3408,96,6.56,9,3,1,0
1538,82,6.9,2,1,0,0
2292,101,7.11,8,7,1,0
9300,106,9.98,8,1,1,0
1363,85,8.75,5,8,1,0
7188,95,4.87,2,10,5,0
6627,121,5.92,4,6,4,0
5260,118,7.41,7,8,4,1
6815,102,10.16,2,4,2,0
9461,99,6.66,2,5,5,0
680,110,6.97,2,4,0,0
9315,76,8.18,5,7,3,0
9298,101,7.51,6,4,1,0
3664,117,8.52,3,2,3,1
1661,98,5.5,4,1,1,0
508,100,8.97,3,8,5,1
166,112,6.09,10,10,5,1
5497,90,6.85,8,1,1,0
8299,115,7.27,7,4,2,0
1006,113,9.87,2,8,5,1
9739,106,7.96,6,9,5,0
1914,72,7.2,1,2,0,0
3494,107,8.23,5,2,3,0
9633,89,8.47,3,3,4,0
9750,92,7.87,8,4,2,0
6444,111,7.39,10,7,4,0
4990,68,5.84,8,3,1,0
2536,114,7.47,7,5,5,0
1104,116,8.95,2,1,1,0
3875,117,7.62,3,6,4,0
7523,106,7.73,10,5,3,0
1752,90,10.2,5,8,2,1
5310,95,7.0,4,9,5,0
7296,87,5.95,2,6,1,0
2916,97,5.69,3,9,5,0
8974,112,6.02,1,3,5,0
5754,97,7.84,2,5,2,0
152,89,5.39,2,7,1,0
7690,106,7.44,8,10,0,0
5679,92,9.3,7,6,3,0
3907,78,9.59,2,7,1,0
9135,92,9.3,3,7,3,0
2552,128,9.78,7,3,2,1
2773,76,5.63,8,9,2,0
6098,103,7.91,4,8,0,0
3551,76,9.22,4,8,1,0
3722,75,6.75,10,2,4,0
9870,100,10.04,8,8,0,0
520,74,9.34,5,8,4,1
8033,111,7.1,3,2,4,0
4538,96,7.99,6,9,4,0
6778,112,10.06,9,3,1,0
1822,96,9.45,10,9,3,1
4086,112,8.58,2,3,3,1
6148,77,6.09,5,8,5,0
8742,101,9.84,6,8,3,1
9472,72,7.74,3,5,5,0
7741,97,7.17,2,10,1,0
309,96,4.96,5,8,3,0
7720,97,9.31,6,10,0,0
8222,108,9.31,7,1,1,0
8656,94,8.84,3,8,2,1
3599,96,7.94,6,5,3,0
3622,70,6.87,8,9,0,0
3811,106,7.94,7,1,5,0
3450,92,6.2,7,3,0,0
4591,102,8.61,3,10,0,0
205,85,5.58,10,2,5,0
9840,83,5.93,4,9,3,0
1135,114,7.46,10,10,2,1
9384,89,7.49,1,8,1,0
2749,96,7.43,5,8,4,0
3613,105,8.85,2,10,5,1
305,101,6.72,7,1,4,0
1849,106,7.82,4,3,3,0
7669,99,5.38,5,3,2,0
1988,90,8.88,4,7,0,0
3240,100,6.02,3,5,4,0
2798,94,9.08,2,9,2,1
4515,86,6.81,7,7,5,0
5630,88,5.39,10,2,5,0
9372,91,8.2,1,9,3,1
3109,71,8.12,7,6,3,0
4939,78,7.58,5,4,4,0
4059,96,5.45,9,5,5,0
1987,107,8.86,2,2,3,0
7157,88,8.21,7,10,1,0
8874,106,9.41,8,10,4,1
6613,132,9.6,1,7,1,0
383,92,6.78,8,4,2,0
5634,88,5.68,2,1,0,0
4307,110,8.46,7,7,5,0
3388,112,6.34,6,7,5,0
3156,81,5.56,10,6,1,0
9995,119,8.29,4,8,0,1
2727,120,7.02,10,9,4,1
6333,95,5.6,3,1,1,0
9899,114,4.89,2,3,1,0
8751,108,7.3,2,5,1,0
8302,89,10.12,10,4,2,0
6037,74,6.97,1,6,2,0
3832,115,6.4,7,4,1,0
8917,92,4.6,8,3,2,0
4776,99,6.25,7,6,4,0
4276,91,5.66,4,8,4,0
253,115,6.47,10,6,3,0
7895,91,9.28,7,8,0,0
9590,113,5.39,7,10,0,0
7288,112,8.38,5,6,3,1
278,101,7.77,4,9,3,0
3252,109,9.37,10,2,0,0
2480,90,9.34,9,1,0,0
289,90,9.25,4,3,5,0
6086,95,8.57,4,10,2,1
3075,127,8.18,10,10,2,1
8123,99,9.23,6,5,5,0
7598,114,7.71,6,6,5,0
6403,107,7.39,6,10,0,0
5089,89,7.59,4,10,5,0
7283,99,9.58,4,10,0,0
9717,84,5.93,5,9,3,0
8402,109,5.54,6,6,5,0
6121,102,7.59,1,9,3,0
7754,100,7.59,2,10,0,0
270,121,5.47,6,3,5,0
6009,87,9.28,5,6,4,0
4570,91,8.88,9,9,1,0
9116,124,8.69,3,4,3,1
9803,84,8.6,9,6,1,0
2971,98,8.4,6,6,2,0
6193,114,7.49,10,9,3,1
8768,100,7.23,4,1,2,0
4207,57,8.21,5,9,0,0
3218,88,8.24,8,2,3,0
1391,89,9.48,5,4,5,0
3975,102,7.86,2,10,3,0
4316,83,6.07,4,9,0,0
7959,94,9.58,8,2,3,0
7344,93,6.13,4,6,4,0
7448,118,6.35,9,2,0,0
83,92,6.11,4,9,1,0
873,89,9.54,3,6,4,0
9605,122,9.39,2,8,3,1
7635,93,5.01,2,4,4,0
4557,105,5.19,2,10,1,0
4500,85,9.1,7,5,5,0
4647,99,8.25,1,4,4,0
2038,99,7.95,9,2,5,0
9694,96,9.18,9,5,0,0
6909,86,5.46,1,10,1,0
2450,86,5.29,9,1,4,0
3954,91,7.45,9,2,2,0
2329,112,5.68,9,1,1,0
9124,109,6.12,10,1,0,0
7044,111,7.67,9,6,5,0
5042,97,5.85,4,10,5,0
9364,116,8.54,10,8,1,1
4746,102,5.66,5,9,5,0
9367,120,8.36,2,9,0,1
9402,76,6.15,1,6,1,0
6491,86,6.13,9,1,2,0
6637,80,7.81,9,3,1,0
7225,83,5.78,2,3,0,0
2401,102,9.75,6,8,5,1
5520,88,5.83,10,10,3,0
1216,89,5.93,3,3,0,0
8695,113,6.73,9,9,3,1
6020,103,7.28,8,2,1,0
6865,115,9.51,8,9,2,1
1064,94,9.66,3,3,0,0
3786,104,5.6,3,10,2,0
4410,89,8.64,6,6,5,0
6859,113,6.51,3,5,1,0
6760,112,6.53,4,9,1,0
5523,90,8.33,4,10,4,1
5996,117,5.61,1,3,1,0
8833,114,6.11,8,10,0,0
5888,66,5.62,7,10,1,0
2161,103,9.03,3,5,3,0
3008,116,6.26,1,9,4,1
1105,84,8.88,5,9,5,1
6654,91,6.59,3,8,3,0
692,83,6.52,2,6,5,0
9957,84,7.06,4,9,5,0
4956,97,7.49,7,9,2,0
6597,90,8.94,2,8,3,1
8480,95,9.72,6,7,3,0
4369,103,5.43,9,6,3,0
2765,112,8.56,1,7,5,1
3929,102,8.05,7,8,0,0
7134,94,6.94,4,10,1,0
8735,90,7.64,5,1,4,0
7530,118,9.39,4,3,4,1
7528,77,7.69,3,10,3,0
628,100,10.0,7,1,5,0
2451,87,7.86,5,3,2,0
6239,105,9.23,6,2,3,0
7012,113,8.84,3,6,5,1
3824,89,6.56,2,9,3,0
8977,99,9.61,8,2,2,0
2652,107,8.48,2,2,3,0
9107,106,7.78,4,5,1,0
3743,102,7.79,4,2,5,0
2176,75,8.49,6,7,0,0
9906,109,5.91,10,8,2,0
9263,88,9.66,9,6,4,0
3318,116,9.7,7,2,4,1
6343,97,8.93,6,4,1,0
2787,80,6.93,3,6,5,0
4105,103,8.78,8,7,1,0
6355,96,9.91,4,1,0,0
1676,118,10.1,8,9,5,1
3947,106,6.68,3,6,4,0
4444,70,7.63,4,8,3,0
2936,90,6.55,7,6,2,0
9005,82,7.29,1,2,0,0
7766,138,8.46,8,5,1,0
5722,88,5.57,7,9,2,0
7441,141,6.96,2,2,0,0
2503,90,5.3,7,5,1,0
8482,128,8.68,3,3,1,0
2369,118,7.31,3,2,0,0
4967,116,7.52,6,7,0,0
5883,77,9.31,3,3,1,0
2217,99,9.06,4,1,2,0
5847,85,6.65,5,1,4,0
2218,131,6.92,2,8,5,1
3326,99,9.28,9,8,5,1
6733,89,7.51,2,3,0,0
3583,81,7.23,5,2,3,0
9824,97,9.38,10,8,2,1
3619,113,8.19,1,2,3,1
7707,99,8.0,9,8,2,0
6432,77,9.9,6,10,2,1
3115,103,7.41,10,4,2,0
85,92,5.57,2,3,3,0
5973,67,9.39,7,9,3,1
2801,140,9.47,3,4,1,0
3671,113,7.28,9,4,5,0
3667,108,10.17,7,4,3,0
9794,91,8.68,3,10,4,1
5158,97,6.36,1,10,1,0
5725,81,7.09,2,2,5,0
4590,90,9.14,10,2,2,0
2019,81,9.16,3,5,1,0
7831,111,6.28,5,1,0,0
2525,107,5.9,7,6,3,0
8286,102,7.59,10,10,1,0
9206,115,6.84,7,6,2,0
3212,125,5.28,10,3,5,0
519,111,9.2,9,3,1,0
5366,120,9.25,5,5,4,1
6762,104,9.34,7,8,5,1
2895,158,5.89,8,8,3,1
244,81,10.27,7,4,4,0
5930,85,8.87,3,6,5,0
4714,101,6.11,10,2,1,0
9567,107,7.88,6,9,5,0
3425,115,7.42,4,1,5,0
6931,112,8.11,9,5,0,0
6720,108,7.12,2,6,2,0
7410,115,8.83,10,5,5,1
6177,81,9.32,7,8,5,1
7250,105,9.43,10,7,5,0
5509,97,6.62,7,7,0,0
2001,97,7.31,10,6,4,0
885,127,5.74,2,5,3,0
869,130,9.5,8,7,0,0
9688,99,7.43,3,7,3,0
5720,93,8.52,10,8,4,1
356,99,7.62,2,4,4,0
9907,134,6.12,3,5,1,0
5451,101,9.25,3,4,0,0
8193,101,6.97,9,10,0,0
6438,107,6.88,2,7,4,0
7704,88,9.32,5,6,4,0
1275,102,5.59,7,3,4,0
1890,108,8.63,3,5,4,0
8686,83,6.47,8,10,3,0
6568,103,7.65,7,9,4,0
9623,113,9.23,5,3,0,0
3563,117,5.26,9,1,0,0
5787,129,6.3,9,1,2,0
4958,99,8.14,8,4,5,0
1546,85,7.33,8,5,3,0
2380,85,6.62,4,1,0,0
3823,102,5.71,7,4,0,0
3232,83,6.45,5,4,2,0
8399,99,7.09,8,1,1,0
3306,107,8.6,2,7,2,0
492,101,8.13,10,5,3,0
3499,94,9.73,8,9,2,1
6664,89,7.85,2,7,1,0
1116,136,6.04,1,6,4,0
5637,84,8.66,9,1,2,0
8774,121,8.72,2,7,3,1
6146,100,7.8,6,3,5,0
9867,101,8.73,6,9,1,0
8775,79,7.77,7,3,0,0
6707,100,7.46,10,10,4,0
9948,97,9.54,2,9,1,0
7965,93,8.12,5,8,2,1
3645,83,6.01,9,4,0,0
2500,108,8.37,4,10,2,1
5677,120,9.17,3,4,0,0
5241,87,7.8,7,9,2,0
6518,59,9.03,2,10,3,1
2783,84,6.37,9,5,4,0
6158,101,8.59,5,10,1,0
3809,112,7.06,4,7,3,0
9428,70,7.64,3,4,4,0
9524,86,6.1,7,8,4,0
8599,105,8.51,10,10,5,1
1696,84,5.52,9,4,4,0
5685,77,9.33,7,10,3,1
8367,105,5.89,3,2,5,0
5939,133,6.12,6,1,2,0
2052,90,8.04,9,2,0,0
1776,90,6.42,10,6,0,0
6560,95,5.48,1,4,1,0
3313,84,9.24,9,7,1,0
4781,104,6.82,8,2,1,0
8538,104,8.26,4,6,4,0
6781,100,5.84,6,8,1,0
1592,106,7.22,10,3,1,0
1723,109,9.38,5,10,4,1
215,111,7.81,9,7,1,0
6326,92,9.45,1,2,5,0
8256,116,9.86,9,3,3,1
490,99,9.41,5,1,3,0
9133,104,7.09,10,10,5,0
3483,99,7.69,9,8,0,0
5102,103,8.66,4,5,2,0
5187,103,10.37,7,9,2,1
3431,120,8.99,10,9,2,1
9198,62,7.53,1,10,5,0
7710,104,6.47,10,6,4,0
5513,103,5.94,10,6,3,0
25,101,9.45,2,7,2,0
3512,125,9.41,4,10,2,1
2409,82,6.58,9,7,1,0
3270,96,6.3,3,6,3,0
5209,100,6.32,5,7,0,0
8711,93,9.81,2,10,3,1
1552,86,8.78,2,4,5,0
9197,121,9.99,1,1,4,1
8621,110,6.0,4,4,5,0
3871,102,8.89,10,7,2,0
3402,102,6.46,1,1,0,0
4529,91,7.3,4,9,2,0
979,111,7.83,8,6,3,0
2655,112,9.43,6,2,2,1
1847,87,5.57,10,8,3,0
7964,91,8.84,9,8,3,1
8240,103,6.77,6,10,1,0
7145,107,6.71,9,7,3,0
7299,116,6.72,6,2,3,0
5721,125,8.39,6,6,0,0
515,111,5.62,3,9,3,1
8745,89,8.55,1,4,1,0
8297,105,6.99,9,2,4,0
1102,131,7.54,3,5,3,0
3276,117,6.53,6,7,0,0
7217,123,7.45,7,10,3,1
7389,112,5.27,5,5,0,0
9077,82,10.27,5,3,5,0
8337,79,7.34,7,7,3,0
3996,68,6.07,4,10,3,0
194,102,7.43,2,8,5,0
4711,108,6.09,5,9,3,0
643,77,7.52,10,2,5,0
9089,91,8.81,5,4,3,0
3285,122,6.44,4,10,0,0
3116,97,7.75,8,1,0,0
6476,115,5.85,2,7,3,0
3575,104,6.27,5,4,4,0
9023,113,8.59,1,5,3,1
4320,99,9.66,4,1,1,0
9992,109,10.09,2,10,3,1
2207,105,7.91,3,7,5,0
4552,113,4.87,1,1,5,0
7316,86,6.35,7,1,2,0
3718,97,5.13,10,5,3,0
972,112,7.2,10,1,5,0
4579,112,8.54,9,3,3,1
719,99,6.42,6,4,0,0
9017,88,6.62,9,10,2,0
6155,106,9.57,7,7,3,0
9430,112,8.58,5,1,1,0
3896,120,9.47,8,8,5,1
2803,84,8.91,6,4,1,0
2566,85,5.96,2,5,1,0
4025,95,5.43,7,10,1,0
6198,95,6.08,3,10,5,0
32,99,7.02,4,9,4,0
8307,128,7.09,1,7,3,0
8831,90,9.27,6,6,4,0
9818,83,9.73,4,8,2,1
4063,104,5.23,8,6,1,0
8948,104,6.75,4,9,5,0
5540,125,7.4,1,5,2,0
1697,89,6.85,6,5,0,0
2792,93,6.09,3,5,1,0
2222,111,8.64,7,2,5,1
5818,81,5.6,6,1,1,0
9662,94,9.5,5,4,5,0
3764,103,8.8,8,3,4,0
3866,104,7.05,6,6,0,0
6421,87,8.71,10,4,2,0
9399,109,8.81,1,2,1,0
8938,107,7.33,5,7,2,0
6671,90,7.66,3,8,0,0
7978,101,5.05,8,1,2,0
3758,104,6.23,6,2,4,0
9774,95,6.01,6,10,0,0
3227,118,7.39,3,5,5,0
7802,88,6.97,5,10,1,0
3923,75,8.73,9,7,3,0
3904,124,9.75,1,1,5,1
2277,82,10.45,4,4,0,0
6810,106,6.21,9,1,3,0
1401,108,6.05,1,10,0,0
739,115,9.71,5,8,0,1
4266,104,5.42,3,7,1,0
9861,107,8.68,4,8,2,1
7352,92,7.09,10,5,1,0
7518,64,5.53,4,5,1,0
3851,107,5.34,5,5,4,0
8631,95,6.9,1,8,2,0
2661,86,7.36,2,4,1,0
6504,115,6.24,8,8,0,0
9799,82,9.48,4,6,3,0
674,78,6.94,9,1,2,0
7105,94,9.94,3,5,5,0
6360,113,5.5,1,2,4,0
3841,89,5.72,1,2,4,0
1815,86,6.92,4,5,5,0
9489,104,7.58,4,7,5,0
9838,85,7.92,10,2,1,0
9201,92,6.21,5,1,1,0
4653,109,4.66,1,6,5,0
8692,107,8.2,4,5,3,0
2100,105,5.85,4,4,4,0
7711,80,8.74,7,4,3,0
1673,86,5.7,2,1,0,0
2101,86,5.81,7,6,4,0
4213,72,8.79,1,8,2,1
6958,140,5.84,6,1,5,0
1548,111,5.51,8,6,2,0
9550,105,9.06,2,1,0,0
3323,103,6.83,1,9,3,0
9583,104,5.33,4,5,5,0
355,84,8.1,3,1,2,0
5184,115,8.24,4,2,1,0
1461,81,6.89,1,4,4,0
7624,140,7.26,6,1,5,0
9385,105,9.34,8,3,3,0
3220,84,7.18,6,10,3,0
939,91,8.55,3,8,5,1
5147,96,5.85,6,1,5,0
5923,101,6.38,2,7,3,0
7883,99,7.9,1,5,1,0
1751,110,5.76,7,4,3,0
9468,89,6.11,7,5,0,0
7597,84,5.36,5,9,1,0
1772,90,6.37,2,2,0,0
1196,99,8.91,9,8,3,1
1878,74,7.52,1,9,0,0
2668,108,5.45,4,3,0,0
3171,109,9.28,6,8,4,1
2016,96,8.65,5,6,2,0
2005,103,9.07,9,10,3,1
8272,92,9.4,6,1,0,0
3893,71,8.74,5,3,1,0
9991,102,6.86,10,3,1,0
3237,81,5.28,1,5,4,0
4424,86,10.17,10,4,1,0
4744,124,5.92,10,3,5,0
2078,97,6.83,7,6,0,0
5219,82,7.42,2,7,3,0
396,74,6.38,1,8,0,0
2788,93,9.67,7,1,0,0
8877,81,9.28,7,7,0,0
8638,107,5.42,1,9,4,0
4072,76,7.74,2,2,2,0
5574,85,4.97,2,1,3,0
8369,103,5.88,7,3,0,0
9507,110,8.1,6,9,1,0
5355,113,9.77,5,6,2,1
7233,110,5.68,7,7,0,0
9483,104,8.78,1,4,2,0
6820,129,7.66,6,3,2,0
1519,127,10.05,6,1,2,1
8196,109,5.39,7,3,3,0
1378,90,5.08,9,6,0,0
5672,90,7.58,2,7,4,0
1023,132,4.9,8,8,5,1
2587,96,10.05,4,10,0,0
7042,106,6.88,6,6,0,0
5621,73,5.48,3,9,2,0
7637,94,8.46,7,3,4,0
5008,88,8.08,2,10,5,1
2857,96,5.21,8,1,4,0
8254,101,6.21,5,3,5,0
5771,97,8.99,10,7,3,0
5842,77,7.73,5,9,4,0
8027,100,6.66,8,1,3,0
5832,83,8.43,2,9,0,0
1629,112,5.0,8,6,0,0
4888,103,7.01,8,8,4,0
4526,79,5.82,1,5,5,0
3523,124,5.52,9,8,4,1
5904,86,5.8,5,10,4,0
7781,115,9.71,3,8,4,1
3607,116,5.76,7,3,5,0
9418,101,7.33,7,5,0,0
5220,126,8.49,6,9,5,1
234,132,5.62,8,4,2,0
7755,101,7.86,1,5,5,0
3796,97,5.88,4,5,5,0
4118,93,6.63,4,5,4,0
6318,114,9.8,3,6,5,1
5001,93,7.55,4,10,4,0
3800,79,8.45,10,6,1,0
7809,71,8.03,9,4,3,0
3899,105,7.95,5,4,0,0
5024,134,9.62,6,6,2,1
1948,116,5.94,4,1,3,0
6361,116,4.94,8,8,1,0
470,95,9.33,4,8,1,0
9944,97,8.54,10,2,1,0
3492,107,7.75,4,6,4,0
6091,101,8.25,7,2,4,0
2671,108,5.82,4,1,3,0
9800,114,6.42,1,7,5,0
2224,90,5.1,2,10,2,0
1106,109,9.57,9,4,1,0
2188,93,7.84,2,8,3,0
818,101,7.6,1,10,2,0
5571,92,6.44,1,7,4,0
4523,131,8.48,4,4,1,0
5793,102,8.94,5,2,1,0
9381,83,5.39,5,3,5,0
8780,88,9.32,1,3,4,0
7459,79,5.16,2,1,3,0
2624,106,8.77,10,7,2,0
7094,110,9.65,9,10,0,0
9392,96,7.0,3,3,0,0
9916,119,7.65,6,4,2,0
9119,120,7.24,8,1,2,0
888,108,5.95,10,7,4,0
2437,112,9.86,9,9,0,1
6056,101,5.02,7,7,5,0
7064,103,7.33,9,10,2,0
817,113,9.74,9,5,2,1
8934,109,8.45,3,10,5,1
3414,91,5.75,4,2,5,0
6352,79,5.78,8,8,0,0
2341,106,5.56,3,9,3,0
9029,89,9.86,6,4,3,0
3167,102,7.4,10,2,5,0
1809,113,10.18,4,2,4,1
8035,129,9.23,7,6,2,1
1264,102,4.9,4,3,3,0
5086,99,5.29,6,10,2,0
9675,122,8.12,10,2,2,1
5835,93,7.45,2,7,3,0
5194,72,6.76,1,1,4,0
4449,122,6.86,2,4,5,0
4945,115,7.09,8,5,1,0
4045,93,9.55,5,7,3,0
6503,79,9.47,9,10,3,1
3702,86,7.52,7,7,1,0
1035,123,7.28,9,8,5,1
9256,87,8.18,5,3,4,0
5590,91,8.79,10,10,3,1
1228,114,8.09,10,2,1,0
9999,109,9.77,8,5,5,0
6811,78,9.55,6,4,3,0
5141,108,5.86,5,5,2,0
52,89,7.89,1,4,1,0
9067,108,7.63,3,9,1,0
8395,113,6.98,5,10,5,1
159,109,5.47,4,7,4,0
7552,77,6.44,9,5,5,0
1587,94,9.72,3,7,3,0
1589,101,9.33,10,7,4,0
9841,120,6.33,4,1,1,0
9328,103,8.77,5,9,0,0
6930,88,8.89,8,3,4,0
6596,92,9.12,1,5,1,0
6174,105,9.11,5,7,2,0
8098,106,9.55,10,1,3,0
3858,89,7.61,9,1,2,0
9814,98,8.55,6,3,2,0
6691,89,5.68,4,3,3,0
2828,114,7.19,2,8,5,1
436,124,8.46,9,3,5,1
8274,83,9.25,3,5,1,0
8168,88,6.98,8,10,1,0
3878,77,10.39,8,7,0,0
1588,87,6.64,7,3,0,0
2780,113,6.7,5,8,4,1
8981,120,8.78,5,3,2,1
8561,110,8.17,3,8,2,1
5686,118,5.65,4,2,0,0
3965,105,5.64,3,2,3,0
4727,92,9.8,8,3,5,0
973,90,7.33,3,9,3,0
1238,108,9.64,8,6,3,0
2951,111,7.41,7,10,3,1
2342,107,5.74,4,8,1,0
6520,94,6.09,10,3,0,0
7310,93,5.19,7,6,0,0
6046,100,5.56,7,10,3,0
2158,119,7.47,9,9,1,0
9288,100,9.56,9,10,1,0
6589,104,5.41,7,5,3,0
1497,118,6.95,5,9,0,0
4545,108,5.69,3,6,0,0
6465,112,8.48,9,2,4,1
4257,121,9.25,6,10,3,1
2422,96,6.19,3,5,2,0
8564,64,8.34,8,4,2,0
5185,70,7.59,8,10,0,0
5647,123,8.91,4,6,5,1
357,95,5.28,2,7,5,0
5242,111,6.13,1,3,5,0
8011,106,5.07,8,6,3,0
9240,111,6.63,3,4,2,0
2092,109,7.58,9,1,0,0
5409,116,6.73,3,1,5,0
2015,97,5.31,6,10,3,0
9059,117,9.22,9,6,2,1
4044,113,7.49,2,10,4,1
187,98,6.32,9,2,2,0
6858,90,8.52,9,10,2,1
3655,105,8.65,1,10,5,1
3426,103,9.38,3,7,1,0
7194,111,5.78,5,1,0,0
1381,92,4.87,2,7,1,0
7468,93,6.67,8,3,2,0
413,119,6.14,9,6,4,0
5037,89,9.85,8,9,1,0
4897,83,7.77,4,10,0,0
3336,79,9.78,2,2,3,0
3606,88,8.93,6,6,3,0
3175,88,6.41,7,1,3,0
2241,108,5.09,8,6,5,0
9708,79,5.05,6,10,0,0
7796,79,10.13,6,6,0,0
256,119,6.96,6,7,0,0
8620,88,5.4,1,1,5,0
200,105,8.25,5,6,3,0
2235,110,5.66,4,9,5,0
4743,106,6.29,3,9,2,0
1767,97,6.37,10,2,5,0
4236,121,8.24,7,4,2,1
6729,126,8.42,3,9,4,1
8450,73,6.42,9,10,4,0
7277,98,7.3,10,2,1,0
1572,104,8.99,10,6,3,0
24,91,7.86,4,2,2,0
3363,79,6.43,5,4,0,0
1088,96,6.45,1,5,0,0
4674,112,8.95,2,1,2,1
2694,105,5.56,3,4,2,0
7582,99,9.16,6,3,1,0
3398,134,5.82,7,5,1,0
